;vac_name;vac_money_from;vac_money_to;vac_money_cur;city;employer_name;employer_url;employer_url_vacancy;addr_metro;addr_street;addr_build;addr_lng;addr_lat
49;Программист PHP (Bitrix);90000.0;;RUR;Санкт-Петербург;Омега;https://api.hh.ru/employers/602711;https://hh.ru/vacancy/40680897;Площадь Александра Невского 1;Синопская набережная;52;30.390904;59.934407
50;PHP программист MVC (MySQL / Web-разработчик);50000.0;100000.0;RUR;Санкт-Петербург;Юнипейдж;https://api.hh.ru/employers/2623887;https://hh.ru/vacancy/41406180;Владимирская;;;;
51;Frontend Web (JS) разработчик;60000.0;110000.0;RUR;Санкт-Петербург;TopDigital;https://api.hh.ru/employers/1388543;https://hh.ru/vacancy/40908822;;Якорная улица;16Б;30.442845;59.944332
52;Backend developer PHP / Wordpress;75000.0;100000.0;RUR;Санкт-Петербург;Waxa Shop;https://api.hh.ru/employers/3297737;https://hh.ru/vacancy/41528241;;;;;
53;Программист PHP;100000.0;120000.0;RUR;Санкт-Петербург;САМСОН, ГРУППА КОМПАНИЙ;https://api.hh.ru/employers/8100;https://hh.ru/vacancy/41016787;;;;;
54;Go разработчик / Golang Developer;100000.0;;RUR;Санкт-Петербург;КВАДО.РУ;https://api.hh.ru/employers/1822740;https://hh.ru/vacancy/41449928;;проспект Юрия Гагарина;77;30.334293;59.838272
55;PHP-разработчик;80000.0;120000.0;RUR;Санкт-Петербург;Mygento eCommerce Solutions;https://api.hh.ru/employers/1643357;https://hh.ru/vacancy/35794682;Чернышевская;улица Чайковского;79;30.3656851865;59.9462288217
56;Web-Программист (php, Bitrix);85000.0;100000.0;RUR;Санкт-Петербург;Метрис;https://api.hh.ru/employers/2616307;https://hh.ru/vacancy/41645552;Владимирская;Центральный район, Социалистическая улица;14;30.34306;59.922625
57;Backend-разработчик;;180000.0;RUR;Санкт-Петербург;ФАН;https://api.hh.ru/employers/2412618;https://hh.ru/vacancy/39109478;;Приморский проспект;78к5;30.186502;59.988055
58;Web разработчик (1С-Битрикс);100000.0;;RUR;Санкт-Петербург;Докторслон.ру;https://api.hh.ru/employers/1065781;https://hh.ru/vacancy/40887553;Петроградская;набережная реки Карповки;13;30.312535;59.968642
59;PHP-программист (Symfony + Битрикс);100000.0;;RUR;Санкт-Петербург;Улыбка радуги;https://api.hh.ru/employers/40938;https://hh.ru/vacancy/41039185;;;;;
60;Middle / Senior Backend Developer (Symfony);100000.0;200000.0;RUR;Санкт-Петербург;Эсакор;https://api.hh.ru/employers/3944535;https://hh.ru/vacancy/41064686;Нарвская;Бумажная улица;16к1;30.266443;59.905583
61;Backend разработчик на Laravel;100000.0;150000.0;RUR;Санкт-Петербург;Тапир;https://api.hh.ru/employers/2832006;https://hh.ru/vacancy/41423329;;;;;
62;Web-программист;70000.0;120000.0;RUR;Санкт-Петербург;ИТА ГРУПП;https://api.hh.ru/employers/2812204;https://hh.ru/vacancy/41044645;Проспект Ветеранов;;;;
63;Junior Fullstack Developer (PHP, JS);;100000.0;RUR;Санкт-Петербург;НОВЫЕ ТЕХНОЛОГИИ;https://api.hh.ru/employers/3778538;https://hh.ru/vacancy/41421860;;;;;
64;Full stack developer (JavaScript/PHP) удаленно;1000.0;3000.0;USD;Санкт-Петербург;Greenwich Group;https://api.hh.ru/employers/2557028;https://hh.ru/vacancy/41408841;;;;;
65;Full Stack Developer (Laravel + Vue.js);;180000.0;RUR;Санкт-Петербург;ФАН;https://api.hh.ru/employers/2412618;https://hh.ru/vacancy/39709450;;Приморский проспект;78к5;30.186502;59.988055
66;Разработчик Bitrix;35000.0;260000.0;RUR;Санкт-Петербург;GDC (ICL Services);https://api.hh.ru/employers/156424;https://hh.ru/vacancy/41070086;;;;;
67;PHP-программист;100000.0;120000.0;RUR;Санкт-Петербург;ОБИТ;https://api.hh.ru/employers/53676;https://hh.ru/vacancy/40261384;Площадь Восстания;;;;
68;PHP-backend middle(junior+) developer;60000.0;100000.0;RUR;Санкт-Петербург;INTERUP NET;https://api.hh.ru/employers/5075544;https://hh.ru/vacancy/40846761;;;;;
69;Back-end разработчик;90000.0;;RUR;Санкт-Петербург;Рост;https://api.hh.ru/employers/3105935;https://hh.ru/vacancy/41057448;Петроградская;2 линия;метро Петроградская;30.311502;59.966394
70;PHP-разработчик;140000.0;200000.0;RUR;Санкт-Петербург;Vilesse;https://api.hh.ru/employers/1510254;https://hh.ru/vacancy/37393305;;;;;
71;Front-end разработчик;70000.0;150000.0;RUR;Санкт-Петербург;EUROGROUP;https://api.hh.ru/employers/3349067;https://hh.ru/vacancy/40895095;;;;;
72;Web-программист;80000.0;120000.0;RUR;Санкт-Петербург;ExDesign;https://api.hh.ru/employers/597864;https://hh.ru/vacancy/41146815;Московская;площадь Конституции;7;30.308259;59.850988
73;Backend-developer;;200000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/41506045;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
74;Middle Frontend-developer (React/Vue.js);80000.0;120000.0;RUR;Санкт-Петербург;ГиперМетод;https://api.hh.ru/employers/63290;https://hh.ru/vacancy/41587070;Обухово;улица Грибакиных;25к3;30.45844;59.849664
75;Веб-разработчик (senior fullstack);;140000.0;RUR;Санкт-Петербург;Центр Содружества;https://api.hh.ru/employers/120909;https://hh.ru/vacancy/41071809;;;;;
76;Full-stack разработчик;100000.0;;RUR;Санкт-Петербург;Bright Rich | CORFAC International;https://api.hh.ru/employers/675098;https://hh.ru/vacancy/40661441;Чернышевская;Литейный проспект;26;30.348998;59.941912
77;Full stack software engineer (удаленно);120000.0;;RUR;Санкт-Петербург;Helastel;https://api.hh.ru/employers/4166575;https://hh.ru/vacancy/39793404;;;;;
78;Backend-разработчик;150000.0;170000.0;RUR;Санкт-Петербург;Ай Ти Сервис;https://api.hh.ru/employers/3539265;https://hh.ru/vacancy/41141491;Чёрная речка;Торжковская улица;1к2;30.305762;59.986808
79;Full Stack программист;150000.0;;RUR;Санкт-Петербург;Персонал-Сервис;https://api.hh.ru/employers/1488079;https://hh.ru/vacancy/41536958;;;;;
80;Программист интернет-магазина (Битрикс РНР);90000.0;100000.0;RUR;Санкт-Петербург;Авто-Компонент ТД;https://api.hh.ru/employers/592461;https://hh.ru/vacancy/41520227;Московская;улица Пилотов;18к5;30.294452;59.809695
81;Senior PHP developer (Laravel);150000.0;200000.0;RUR;Санкт-Петербург;B2Broker;https://api.hh.ru/employers/2234168;https://hh.ru/vacancy/40556000;Горьковская;;;;
82;Middle/Senior PHP Developer;110000.0;150000.0;RUR;Санкт-Петербург;Центр образовательных технологий Advance;https://api.hh.ru/employers/975943;https://hh.ru/vacancy/40846952;Чернышевская;Таврическая улица;2;30.3773919153;59.9414764073
83;Senior FrontEnd (ФронтЕнд) разработчик;150000.0;250000.0;RUR;Санкт-Петербург;SmmTouch LLC;https://api.hh.ru/employers/5023341;https://hh.ru/vacancy/40929917;;;;;
84;Web-разработчик;60000.0;100000.0;RUR;Санкт-Петербург;ПО Энергоресурс;https://api.hh.ru/employers/592261;https://hh.ru/vacancy/40986563;Балтийская;Троицкий проспект;12;30.30013;59.915716
85;Frontend-разработчик;80000.0;150000.0;RUR;Санкт-Петербург;SkyNet;https://api.hh.ru/employers/373146;https://hh.ru/vacancy/40324661;;Репищева улица;20;30.284966;60.031751
